id,lon,lat
S1-A-01,147.31405698265104,-42.901118994434356
S1-B-02,147.31933449511374,-42.89517368829745
S1-B-04,147.31933449511374,-42.89517368829745
S1-C-04,147.3106298200106,-42.89956836349578
S1-B-03,147.31933449511374,-42.89517368829745
S1-C-09,147.3106298200106,-42.89956836349578
S1-C-10,147.3106298200106,-42.89956836349578
S1-C-07,147.3106298200106,-42.89956836349578
S1-C-11,147.3106298200106,-42.89956836349578
S1-C-14,147.3106298200106,-42.89956836349578
S2-A-01,147.7760950285806,-43.17783500547931
S2-A-12,147.7760950285806,-43.17783500547931
S2-D-13,147.77039836220638,-43.17343571269962
S2-B-02,147.7777169368261,-43.1762644928919
S2-B-09,147.7777169368261,-43.1762644928919
S2-D-01,147.77039836220638,-43.17343571269962
S2-D-05,147.77039836220638,-43.17343571269962
S2-D-06,147.77039836220638,-43.17343571269962
S3-A-01,146.80529899609888,-43.15568399377392
S3-D-06,146.8376767043898,-43.15379114078593
S3-D-02,146.8376767043898,-43.15379114078593
S3-D-04,146.8376767043898,-43.15379114078593
S3-B-01,146.8036449281662,-43.155162095418284
S3-A-05,146.80529899609888,-43.15568399377392
S3-D-08,146.8376767043898,-43.15379114078593
S3-D-05,146.8376767043898,-43.15379114078593
S3-B-03,146.8036449281662,-43.155162095418284
S3-C-02,146.80529899609888,-43.15568399377392
S5-A-01,146.62720143332058,-42.755058121927476
S5-B-18,146.62720143332058,-42.755058121927476
S5-B-01,146.62720143332058,-42.755058121927476
S5-B-03,146.62720143332058,-42.755058121927476
S5-A-02,146.62720143332058,-42.755058121927476
S5-B-17,146.62720143332058,-42.755058121927476
S5-B-02,146.62720143332058,-42.755058121927476
S5-B-04,146.62720143332058,-42.755058121927476
S5-B-13,146.62720143332058,-42.755058121927476
S5-B-19,146.62720143332058,-42.755058121927476
S5-B-09,146.62720143332058,-42.755058121927476
S6-A-20,146.43800599369078,-42.168249984503376
S6-A-01,146.43800599369078,-42.168249984503376
S6-A-04,146.43800599369078,-42.168249984503376
S6-A-23,146.43800599369078,-42.168249984503376
S6-A-06,146.43800599369078,-42.168249984503376
S6-A-07,146.43800599369078,-42.168249984503376
S6-A-12,146.43800599369078,-42.168249984503376
S6-A-13,146.43800599369078,-42.168249984503376
S6-A-10,146.43800599369078,-42.168249984503376
S6-A-11,146.43800599369078,-42.168249984503376
S6-A-16,146.43800599369078,-42.168249984503376
S6-A-18,146.43800599369078,-42.168249984503376
S6-A-22,146.43800599369078,-42.168249984503376
S9-A-04,145.22803585243193,-42.22071477255371
S9-A-05,145.22803585243193,-42.22071477255371
S9-A-21,145.22803585243193,-42.22071477255371
S9-A-15,145.22803585243193,-42.22071477255371
S9-A-16,145.22803585243193,-42.22071477255371
S9-A-09,145.22803585243193,-42.22071477255371
S9-A-17,145.22803585243193,-42.22071477255371
S9-A-18,145.22803585243193,-42.22071477255371
S9-A-19,145.22803585243193,-42.22071477255371
S10-A-01,145.52770996845848,-41.44538203034888
S10-A-02,145.52770996845848,-41.44538203034888
S10-A-03,145.52770996845848,-41.44538203034888
S10-A-04,145.52770996845848,-41.44538203034888
S10-A-06,145.52770996845848,-41.44538203034888
S10-A-10,145.52770996845848,-41.44538203034888
S10-A-11,145.52770996845848,-41.44538203034888
S10-A-17,145.52770996845848,-41.44538203034888
S10-A-07,145.52770996845848,-41.44538203034888
S10-A-12,145.52770996845848,-41.44538203034888
S10-A-16,145.52770996845848,-41.44538203034888
S15-A-02,146.160797036121,-41.47519402416889
S15-B-12,147.341658977397,-41.12967403062363
S15-B-07,147.341658977397,-41.12967403062363
S15-B-09,147.341658977397,-41.12967403062363
S15-A-05,146.160797036121,-41.47519402416889
S15-B-04,147.341658977397,-41.12967403062363
S15-A-03,146.160797036121,-41.47519402416889
S15-A-06,146.160797036121,-41.47519402416889
S15-B-05,147.341658977397,-41.12967403062363
S15-B-08,147.341658977397,-41.12967403062363
S15-B-10,147.341658977397,-41.12967403062363
S15-B-13,147.341658977397,-41.12967403062363
S17-A-01,147.95392498323574,-41.23265900926464
S17-B-01,147.95540549665552,-41.2314867524262
S17-B-02,147.95540549665552,-41.2314867524262
S17-C-02,147.95230271566416,-41.23907240613795
S17-C-03,147.95230271566416,-41.23907240613795
S17-C-07,147.95230271566416,-41.23907240613795
S17-C-09,147.95230271566416,-41.23907240613795
S17-C-11,147.95230271566416,-41.23907240613795
S17-C-15,147.95230271566416,-41.23907240613795
S17-C-16,147.95230271566416,-41.23907240613795
S18-A-05,148.25652697826783,-41.78066098871306
S18-A-17,148.25652697826783,-41.78066098871306
S18-A-10,148.25652697826783,-41.78066098871306
S18-A-15,148.25652697826783,-41.78066098871306
S18-A-06,148.25652697826783,-41.78066098871306
S18-A-08,148.25652697826783,-41.78066098871306
S18-A-07,148.25652697826783,-41.78066098871306
S18-A-01,148.25652697826783,-41.78066098871306
S18-A-09,148.25652697826783,-41.78066098871306
S18-A-12,148.25652697826783,-41.78066098871306
S18-A-16,148.25652697826783,-41.78066098871306
S18-A-19,148.25652697826783,-41.78066098871306
S18-A-21,148.25652697826783,-41.78066098871306
S20-A-02,147.6934720311661,-41.99066100146171
S20-A-03,147.6934720311661,-41.99066100146171
S20-A-07,147.6934720311661,-41.99066100146171
S20-A-09,147.6934720311661,-41.99066100146171
S20-A-10,147.6934720311661,-41.99066100146171
S20-A-14,147.6934720311661,-41.99066100146171
S20-A-17,147.6934720311661,-41.99066100146171
S20-A-11,147.6934720311661,-41.99066100146171
S20-A-12,147.6934720311661,-41.99066100146171
